iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1992,43.224079,-2.718935,No summary available,1,1,1,1,Unknown,0
1992,-10.617413,26.309511,No summary available,1,1,1,2,Supporters Opposition Leader Etienne Tshisekedi,8
1992,31.418909,34.352605,No summary available,1,1,1,1,Palestinians,1
1992,13.69288,-89.199161,No summary available,1,1,1,3,Farabundo Marti National Liberation Front (FMLN),0
1992,54.787715,-6.492314,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1992,54.787715,-6.492314,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1992,54.787715,-6.492314,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1992,54.787715,-6.492314,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1992,-9.348385,-77.170804,No summary available,1,1,1,3,Shining Path (SL),0
1992,-25.474193,30.969455,No summary available,1,1,1,3,Right-Wing Extremists,0
1992,6.186944,-72.4725,No summary available,1,1,1,2,National Liberation Army of Colombia (ELN),2
1992,13.69288,-89.199161,No summary available,1,1,1,9,Unknown,0
1992,13.69288,-89.199161,No summary available,1,1,1,9,Unknown,0
1992,-26.246319,27.853677,No summary available,1,1,1,1,Pan Africanist Congress (PAC),2
1992,,,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1992,,,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1992,,,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1992,8.511375,-73.446796,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1992,53.553813,9.991586,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1992,-25.862732,28.192523,No summary available,1,1,1,3,Right-Wing Extremists,0
1992,-26.095841,27.758589,No summary available,1,1,1,3,Right-Wing Extremists,0
1992,17.225,-89.613333,No summary available,1,1,1,2,Unknown,0
1992,-12.017355,-76.835517,No summary available,1,1,1,2,Shining Path (SL),7
1992,-26.246319,27.853677,No summary available,1,1,1,2,Unknown,2
1992,-26.353159,28.132727,No summary available,1,1,1,2,Unknown,2
1992,37.192877,40.581143,No summary available,1,1,0,3,Unknown,0
1992,54.446614,-6.690752,No summary available,1,1,1,1,Protestant Extremists,2
1992,34.533056,69.166111,No summary available,1,1,1,3,Najib Watan Party Faction,0
1992,9.56049,-73.33269,No summary available,1,1,1,3,Simon Bolivar Guerrilla Coordinating Board (CGSB),0
