iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1985,50.084284,8.238717,No summary available,1,1,0,3,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,1
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,41.918891,8.737554,No summary available,1,1,1,9,Unknown,0
1985,9.66123,80.02558,No summary available,1,1,1,3,Tamils,0
1985,31.766496,35.21172,No summary available,1,1,1,3,Unknown,0
1985,31.766496,35.21172,No summary available,1,1,1,3,Unknown,0
1985,34.693738,135.502165,No summary available,1,1,1,3,Chukakuha (Middle Core Faction),0
1985,-12.57906,-74.228928,No summary available,1,1,1,2,Shining Path (SL),
1985,-11.495531,-77.207192,No summary available,1,1,1,3,Shining Path (SL),
1985,-15.188188,-72.964306,No summary available,1,1,1,2,Shining Path (SL),30
1985,9.762422,80.028899,No summary available,1,1,1,7,Tamils,
1985,9.659069,80.131693,No summary available,1,1,1,7,Tamils,
1985,38.89037,-77.031959,"1/1/1985: Kenneth Shields, Thomas Spinks, and Michael Donald Bray bombed the Hillcrest Women's Surgi-Center in Washington, D.C., United States.  There were no casualties but the building sustained over $100,000 in damages.  Twelve hours after the bomb detonated, a member claiming to be from the Army of God took credit for the incident.",1,1,1,3,Army of God,0
1985,-16.409501,-71.537384,No summary available,1,1,1,3,Shining Path (SL),
1985,-6.774056,-79.843559,No summary available,1,1,1,3,Shining Path (SL),
1985,-15.493296,-70.135574,No summary available,1,1,1,3,Shining Path (SL),
1985,50.111445,8.680615,No summary available,1,1,1,7,Red Army Faction (RAF),0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,3.420628,-76.522119,No summary available,1,1,1,7,Unknown,0
1985,7.987804,-75.197092,No summary available,1,1,1,1,Unknown,1
1985,,,No summary available,1,1,1,1,Unknown,4
1985,,,No summary available,1,1,1,1,New People's Army (NPA),1
1985,43.178205,-2.31164,No summary available,1,1,1,1,Basque Fatherland and Freedom (ETA),1
1985,-12.518418,-74.373658,No summary available,1,1,1,2,Shining Path (SL),21
1985,-11.918478,-75.312889,No summary available,1,1,1,2,Shining Path (SL),0
1985,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),
1985,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),
1985,-12.046378,-77.042791,No summary available,1,1,0,3,Unknown,0
1985,49.4019,8.680285,No summary available,1,1,0,7,Red Army Faction (RAF),0
1985,50.111445,8.680615,No summary available,1,1,1,7,Red Army Faction (RAF),0
1985,49.4019,8.680285,No summary available,1,1,1,7,Red Army Faction (RAF),0
1985,13.482291,-88.712816,No summary available,1,1,1,3,Farabundo Marti National Liberation Front (FMLN),
1985,16.2411,-61.5331,No summary available,1,1,1,3,Unknown,0
1985,,,No summary available,1,1,1,1,Unknown,0
1985,,,No summary available,1,1,1,3,Unknown,0
1985,52.767447,5.106918,No summary available,1,1,1,3,Unknown,0
1985,13.36448506,-85.29337972,No summary available,1,1,1,2,Nicaraguan Democratic Force (FDN),4
1985,13.13070671,-85.9716835,No summary available,1,1,1,2,Nicaraguan Democratic Force (FDN),
1985,,,No summary available,1,1,1,3,Caribbean Revolutionary Alliance (ARC),0
1985,33.888629,35.495479,No summary available,1,1,1,6,Relatives of terrorist,0
1985,33.888629,35.495479,No summary available,1,1,1,3,Unknown,
1985,13.938518,-88.901366,No summary available,1,1,1,3,Farabundo Marti National Liberation Front (FMLN),0
1985,-12.683056,-73.8725,No summary available,1,1,1,2,Shining Path (SL),8
1985,7.466934,123.408319,No summary available,1,1,1,7,New People's Army (NPA),0
1985,3.00879,-76.4859,No summary available,1,1,1,2,Ricardo Franco Front (Dissident FARC),5
