iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1987,33.888629,35.495479,"1/20/1987: Terry Waite, an envoy from the Church of England, was kidnapped by Hezbollah in Lebanon.  He was released along with several other hostages on November 19, 1991, in exchange for the release of Lebanese prisoners held in Israel.",1,1,1,6,Hezbollah,0
1987,28.632381,77.220004,No summary available,1,1,1,9,Unknown,1
1987,,,No summary available,1,1,0,9,Farabundo Marti National Liberation Front (FMLN),0
1987,-12.046378,-77.042791,No summary available,1,1,1,9,Shining Path (SL),0
1987,-26.103533,28.097631,No summary available,1,1,0,9,African National Congress (South Africa),0
1987,13.08268,80.270718,No summary available,1,1,1,9,Unknown,0
1987,33.895045,35.487676,No summary available,1,1,1,9,Beirut Martyrs Forces Organization,0
1987,40.728933,-4.0151,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1987,40.728933,-4.0151,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1987,2.55168,-76.06517,No summary available,0,1,1,2,Quintin Lame,0
1987,43.552847,7.017369,No summary available,1,1,1,9,Unknown,0
1987,5.337553,-75.729321,No summary available,1,1,1,1,Unknown,1
1987,13.08268,80.270718,No summary available,1,1,1,9,Unknown,0
1987,54.298121,-6.521291,No summary available,1,1,0,1,Irish National Liberation Army (INLA),1
1987,-26.177929,27.974858,No summary available,1,1,1,3,Unknown,0
1987,-12.046378,-77.042791,No summary available,1,1,1,9,Shining Path (SL),0
1987,-26.177929,27.974858,No summary available,1,1,1,3,Unknown,0
1987,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),0
1987,-9.05621,-78.578613,No summary available,1,1,1,3,Shining Path (SL),
1987,-9.06493,-78.579683,No summary available,1,1,1,3,Shining Path (SL),
1987,-9.05621,-78.578613,No summary available,1,1,1,3,Shining Path (SL),
1987,28.632381,77.220004,No summary available,1,1,1,9,Unknown,0
1987,6.927079,79.861243,No summary available,1,1,1,9,Liberation Tigers of Tamil Eelam (LTTE),0
1987,33.888763,35.492016,No summary available,1,1,1,3,Beirut Martyrs Forces Organization,0
1987,-26.177929,27.974858,No summary available,1,1,1,3,Unknown,3
1987,-13.163874,-74.223564,No summary available,1,1,1,1,Shining Path (SL),3
1987,13.805691,-88.145787,No summary available,1,1,1,2,Farabundo Marti National Liberation Front (FMLN),2
1987,,,No summary available,1,1,1,1,Unknown,3
1987,14.0833,-87.2167,No summary available,1,1,1,3,Unknown,0
1987,-12.046378,-77.042791,No summary available,1,1,1,3,Tupac Amaru Revolutionary Movement (MRTA),0
1987,-13.163874,-74.223564,No summary available,1,1,1,3,Shining Path (SL),3
1987,9.882081,-75.254469,No summary available,1,1,0,2,National Liberation Army of Colombia (ELN),0
1987,13.805691,-88.145787,No summary available,1,1,0,9,Guerrillas,28
1987,-12.046378,-77.042791,No summary available,1,1,1,9,Shining Path (SL),3
1987,42.271817,-89.094544,"1/6/1987: David Holman set a fire at the Northern Illinois Women's Center in Rockford, Illinois, United States.  There were no casualties but the abortion clinic sustained $300 in damages.",1,1,1,7,Anti-Abortion Activists,0
1987,43.230556,-2.845833,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1987,35.166744,33.367596,No summary available,1,1,1,3,Hezbollah,0
1987,35.166745,33.367597,No summary available,1,1,1,3,Hezbollah,0
1987,35.166746,33.367598,No summary available,1,1,1,3,Hezbollah,0
1987,35.166747,33.367599,No summary available,1,1,1,3,Hezbollah,0
1987,37.97918,23.716647,No summary available,1,1,1,1,Unknown,1
1987,31.057879,76.300042,No summary available,1,1,1,1,Gunmen,0
1987,33.892039,35.517862,No summary available,1,1,1,1,Unknown,0
1987,-12.046378,-77.042791,No summary available,1,1,1,2,Tupac Amaru Revolutionary Movement (MRTA),0
1987,-12.046378,-77.042791,No summary available,1,1,1,2,Tupac Amaru Revolutionary Movement (MRTA),0
1987,-12.046378,-77.042791,No summary available,1,1,1,2,Tupac Amaru Revolutionary Movement (MRTA),0
1987,-12.046378,-77.042791,No summary available,1,1,1,2,Tupac Amaru Revolutionary Movement (MRTA),0
1987,-12.046378,-77.042791,No summary available,1,1,1,2,Tupac Amaru Revolutionary Movement (MRTA),0
1987,28.632381,77.220004,No summary available,1,1,1,9,Tamils,1
1987,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),2
1987,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),2
1987,-12.046378,-77.042791,No summary available,1,1,1,2,Tupac Amaru Revolutionary Movement (MRTA),1
1987,35.166748,33.3676,No summary available,1,1,1,3,Hezbollah,0
1987,6.46052,-71.72989,No summary available,1,1,1,1,Unknown,1
1987,26.200605,92.937574,No summary available,1,1,1,1,Unknown,2
1987,31.147131,75.341218,No summary available,1,1,1,1,Terrorists,9
1987,31.147131,75.341218,No summary available,1,1,1,1,Terrorists,9
1987,31.147131,75.341218,No summary available,1,1,1,1,Terrorists,9
1987,31.147131,75.341218,No summary available,1,1,1,1,Terrorists,9
1987,54.42071,-6.443767,No summary available,1,1,1,1,Irish Republican Army (IRA),0
1987,-12.046378,-77.042791,No summary available,1,1,1,1,Shining Path (SL),0
1987,-8.111825,-79.02866,No summary available,1,1,1,1,Shining Path (SL),0
1987,8.738157,80.477147,No summary available,1,1,1,3,Liberation Tigers of Tamil Eelam (LTTE),0
1987,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),0
1987,-12.046378,-77.042791,No summary available,1,1,1,3,Shining Path (SL),0
1987,4.5981,-74.07603,No summary available,1,1,1,1,Condor Plan Criminals,2
1987,31.633979,74.872264,No summary available,1,1,1,1,Sikh Extremists,10
1987,8.049953,-69.333365,No summary available,1,1,1,6,National Liberation Army of Colombia (ELN),0
1987,54.346531,-7.640404,No summary available,1,1,1,3,Irish Republican Army (IRA),1
1987,-26.177929,27.974858,No summary available,1,1,1,3,African National Congress (South Africa),0
1987,-33.978578,18.580468,No summary available,1,1,1,3,African National Congress (South Africa),1
1987,34.917861,33.633003,No summary available,1,1,1,3,Unknown,0
1987,,,No summary available,1,1,1,1,Contras,0
1987,14.0833,-87.2167,No summary available,1,1,1,3,Unknown,0
1987,13.69288,-89.199161,No summary available,1,1,1,3,Marxists,0
1987,-12.046378,-77.042791,No summary available,1,1,1,1,Shining Path (SL),2
1987,14.0833,-87.2167,No summary available,1,1,1,3,Unknown,0
1987,14.0833,-87.2167,No summary available,1,1,1,9,Nicaraguan Counter Revolutionaries (group unk),0
1987,30.733315,76.779418,No summary available,1,1,1,1,Khalistan Commando Force,0
1987,28.632381,77.220004,No summary available,1,1,1,1,Khalistan Commando Force,4
1987,28.658188,77.227403,No summary available,1,1,1,1,Sikh Extremists,5
1987,-26.177929,27.974858,No summary available,1,1,1,3,African National Congress (South Africa),0
1987,10.981412,-74.778319,No summary available,1,1,1,2,M-19 (Movement of April 19),13
1987,13.243611,-85.89596,No summary available,1,1,0,2,Nicaraguan Democratic Force (FDN),
1987,13.62679,-85.8254,No summary available,1,1,0,2,Nicaraguan Democratic Force (FDN),9
1987,33.888629,35.495479,No summary available,1,1,1,6,Extremists,0
