iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1979,,,No summary available,1,1,1,9,Unknown,3
1979,4.5981,-74.07603,No summary available,1,1,1,9,Popular Liberation Army (EPL),
1979,,,No summary available,1,1,1,9,New People's Army (NPA),
1979,12.43257,-86.881204,No summary available,1,1,1,9,Sandinista National Liberation Front (FSLN),0
1979,12.509204,-86.661108,No summary available,1,1,1,3,Sandinista National Liberation Front (FSLN),13
1979,-12.046378,-77.042791,No summary available,1,1,1,6,Unknown,
1979,-19.671019,30.007127,No summary available,1,1,1,1,Black Nationalists,1
1979,41.918939,8.738345,No summary available,1,1,1,2,Corsican National Liberation Front (FLNC),0
1979,31.252973,34.791462,No summary available,1,1,1,3,Palestinians,0
1979,31.522561,34.453593,No summary available,1,1,0,3,Palestinians,
1979,42.817988,-1.644184,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),1
1979,21.64706,98.12529,No summary available,1,1,0,2,People's Army (Myanmar),3
1979,12.43257,-86.881204,No summary available,1,1,1,3,Sandinista National Liberation Front (FSLN),0
1979,12.136389,-86.251389,No summary available,1,1,0,1,Sandinista National Liberation Front (FSLN),1
1979,12.136389,-86.251389,No summary available,1,1,1,1,Sandinista National Liberation Front (FSLN),1
1979,12.136389,-86.251389,No summary available,1,1,1,1,Sandinista National Liberation Front (FSLN),1
1979,12.136389,-86.251389,No summary available,1,1,1,1,Sandinista National Liberation Front (FSLN),1
1979,12.136389,-86.251389,No summary available,1,1,1,1,Sandinista National Liberation Front (FSLN),1
1979,12.136389,-86.251389,No summary available,1,1,1,1,Sandinista National Liberation Front (FSLN),1
1979,12.136389,-86.251389,No summary available,0,1,1,1,Unknown,0
1979,43.163605,-2.779337,No summary available,1,1,1,1,Basque Fatherland and Freedom (ETA),1
1979,40.416691,-3.700345,No summary available,1,1,1,1,Basque Fatherland and Freedom (ETA),1
1979,21.64706,98.12529,No summary available,1,1,0,2,Shan State Progressive Party,2
1979,21.64706,98.12529,No summary available,1,1,0,2,Shan State Progressive Party,2
1979,1.10091,-75.40091,No summary available,1,1,1,9,Armed Forces of National Resistance (FARN),1
1979,12.136389,-86.251389,No summary available,1,1,1,5,Sandinista National Liberation Front (FSLN),0
