iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1997,27.493003,85.824033,No summary available,1,1,1,2,Unknown,5
1997,31.532569,35.099826,No summary available,1,1,1,2,Jewish Extremists,0
1997,36.149745,-95.993334,No summary available,1,1,1,7,Unaffiliated Individual(s),0
1997,36.149745,-95.993334,No summary available,1,1,1,7,Unaffiliated Individual(s),0
1997,36.149745,-95.993334,No summary available,1,1,1,7,Unaffiliated Individual(s),0
1997,36.149745,-95.993334,"1/1/1997: A juvenile (whose name was not released by authorities) threw two Molotov cocktails at the Reproductive Services clinic in Tulsa, Oklahoma, United States.  There were no casualties but the abortion clinic sustained $7,000 in damages.",1,1,1,7,Anti-Abortion Activists,0
1997,38.536667,68.78,No summary available,1,1,0,2,Unknown,1
1997,38.536667,68.78,No summary available,1,1,0,2,Unknown,2
1997,39.95227,-75.162369,No summary available,1,1,1,3,Unknown,0
1997,39.31927,-94.915599,No summary available,1,1,1,3,Unknown,0
1997,38.89037,-77.031959,No summary available,1,1,1,3,Unknown,0
1997,11.558831,104.917445,No summary available,1,1,1,2,Unknown,0
1997,34.083658,74.797368,No summary available,1,1,1,3,Jamiat ul-Mujahedin (JuM),7
1997,32.533489,-117.018204,No summary available,1,1,1,1,Unknown,1
1997,-29.600315,30.38159,No summary available,0,1,1,2,Unknown,2
1997,-29.600315,30.38159,No summary available,0,1,1,2,Unknown,2
1997,34.083658,74.797368,No summary available,1,1,1,3,Jamiat ul-Mujahedin (JuM),4
1997,,,No summary available,1,1,1,2,Paramilitaries,8
1997,28.658188,77.227403,No summary available,1,1,1,3,Unknown,1
1997,17.439193,-99.545097,No summary available,1,1,1,2,Justice Army for Defenseless Peoples,4
1997,6.618911,3.305532,No summary available,1,1,1,2,Unknown,0
1997,8.964041,80.787941,No summary available,1,1,0,9,Liberation Tigers of Tamil Eelam (LTTE),3
1997,7.716666,81.700188,No summary available,1,1,0,3,Liberation Tigers of Tamil Eelam (LTTE),2
1997,7.716666,81.700188,No summary available,1,1,0,3,Liberation Tigers of Tamil Eelam (LTTE),0
1997,38.536667,68.78,No summary available,1,1,0,2,Unknown,1
1997,38.536667,68.78,No summary available,1,1,0,2,Unknown,1
1997,38.536667,68.78,No summary available,1,1,0,3,Unknown,1
1997,36.813267,5.751706,No summary available,1,1,1,9,Islamist Extremists,26
1997,-22.908278,-43.197026,No summary available,0,1,1,2,Unknown,2
1997,6.270526,-75.572173,No summary available,1,1,1,2,Unknown,4
1997,28.658188,77.227403,No summary available,1,1,1,3,Unknown,0
1997,-1.949011,30.057852,No summary available,1,1,1,9,Hutus,9
1997,-25.788589,27.243518,No summary available,1,1,1,3,Boere Aanvals Troepe (BAT),0
1997,-25.698749,27.474725,No summary available,1,1,1,3,Boere Aanvals Troepe (BAT),0
1997,-25.661361,27.247563,No summary available,1,1,1,3,Boere Aanvals Troepe (BAT),0
1997,8.351263,81.006993,No summary available,1,1,1,9,Liberation Tigers of Tamil Eelam (LTTE),3
1997,34.533056,69.166111,No summary available,1,1,1,3,Unknown,4
1997,36.6725,2.78944,No summary available,1,1,1,9,Islamist Extremists,18
1997,36.752887,3.042048,No summary available,1,1,1,9,Islamist Extremists,4
1997,54.597269,-5.930109,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1997,8.240043,124.244766,No summary available,1,1,1,3,Unknown,0
1997,28.475562,-16.267372,No summary available,1,1,1,3,Unknown,0
1997,40.416691,-3.700345,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1997,43.256963,-2.923441,No summary available,1,1,1,3,Unknown,0
1997,43.339285,-3.805301,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1997,43.35154,-3.81413,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
