iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1994,46.58976,-112.021204,"1/0/1994: John Casserly set trees on fire that were located outside of the Intermountain Planned Parenthood in Helena, Montana, United States.  The fire did not spread to the abortion facility, but some evergreen trees were damaged.",1,1,1,7,Anti-Abortion Activists,0
1994,17.65,-92.6,No summary available,1,1,1,2,Zapatista National Liberation Army,0
1994,16.774267,-92.131259,No summary available,1,1,1,2,Zapatista National Liberation Army,0
1994,16.3119,-91.98028,No summary available,1,1,1,2,Zapatista National Liberation Army,0
1994,18.34775,-100.654153,No summary available,1,1,1,2,Zapatista National Liberation Army,0
1994,16.90639,-92.09374,No summary available,1,1,1,2,Zapatista National Liberation Army,0
1994,16.738601,-92.633229,No summary available,1,1,1,2,Zapatista National Liberation Army,57
1994,16.667392,-92.564953,No summary available,1,1,0,2,Zapatista National Liberation Army,0
1994,3.120033,43.650184,No summary available,1,1,1,2,Unknown,1
1994,-29.858343,31.021827,No summary available,1,1,1,3,Unknown,0
1994,59.332788,18.064488,No summary available,1,1,1,1,Unknown,0
1994,6.190088,101.797961,No summary available,1,1,1,3,Unknown,0
1994,39.920043,44.043507,No summary available,1,1,1,2,Kurdistan Workers' Party (PKK),1
1994,38.109458,40.567051,No summary available,1,1,1,1,Kurdistan Workers' Party (PKK),8
1994,50.850335,4.351685,No summary available,1,1,1,2,Anti-Kurdish Turks,
1994,53.074981,8.807081,No summary available,1,1,1,8,Neo-Nazi Group,0
1994,53.404954,9.7024,No summary available,1,1,1,9,Neo-Nazi Group,0
1994,48.879923,12.570274,No summary available,1,1,1,9,Unknown,0
1994,31.522561,34.453593,No summary available,1,1,0,8,Hamas (Islamic Resistance Movement),
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,54.597269,-5.930109,No summary available,1,1,1,7,Irish Republican Army (IRA),0
1994,,,No summary available,1,1,1,8,Unknown,15
1994,54.597269,-5.930109,No summary available,1,1,1,2,Unknown,0
1994,-9.94069,-76.241065,No summary available,1,1,1,3,Shining Path (SL),0
1994,37.924678,40.211448,No summary available,1,1,1,3,Kurdistan Workers' Party (PKK),0
1994,50.850335,4.351685,No summary available,1,1,1,2,Anti-Kurdish Turks,
1994,,,No summary available,1,1,1,3,Unknown,1
1994,33.778175,76.576171,No summary available,1,1,1,3,Unknown,4
1994,29.617631,48.150556,No summary available,1,1,0,2,Unknown,0
1994,-12.642078,-74.863074,No summary available,1,1,1,3,Shining Path (SL),1
1994,37.415668,41.371505,No summary available,1,1,1,2,Kurdistan Workers' Party (PKK),1
1994,15.178473,44.482251,No summary available,1,1,1,6,Unknown,0
1994,35.961111,0.918889,No summary available,1,1,1,1,Unknown,1
1994,12.673727,14.284159,No summary available,1,1,1,3,Kotoko Tribal Group,12
1994,35.106523,32.888111,No summary available,1,1,0,2,Unknown,0
1994,8.84853,-9.630092,No summary available,1,1,1,2,United Liberation Movement for Democracy in Liberia (ULIMO),0
1994,31.522561,34.453593,No summary available,1,1,0,8,Hamas (Islamic Resistance Movement),1
1994,31.529396,34.479741,No summary available,1,1,0,8,Hamas (Islamic Resistance Movement),1
1994,-9.484519,-77.513953,No summary available,1,1,1,2,Shining Path (SL),3
1994,-5.988152,-79.74739,No summary available,1,1,1,1,Shining Path (SL),2
1994,-6.776597,-79.844298,No summary available,1,1,1,1,Shining Path (SL),1
1994,59.934491,30.315266,No summary available,1,1,1,3,Unknown,0
1994,37.248935,42.470654,No summary available,1,1,0,2,Kurdistan Workers' Party (PKK),1
1994,37.192877,40.581143,No summary available,1,1,0,2,Kurdistan Workers' Party (PKK),1
1994,37.885793,41.130124,No summary available,1,1,1,2,Kurdistan Workers' Party (PKK),1
1994,40.550769,34.951899,No summary available,1,1,1,1,Unknown,1
1994,35.696944,-0.633056,No summary available,1,1,1,2,Islamic Salvation Front (FIS),6
1994,53.344104,-6.267494,No summary available,1,1,1,3,Ulster Volunteer Force (UVF),
1994,18.466667,-97.4,No summary available,1,1,1,3,Zapatista National Liberation Army,0
1994,6.172553,1.231572,No summary available,1,1,1,2,Togolese Dissidents,26
1994,6.172553,1.231572,No summary available,1,1,0,2,Togolese Dissidents,0
1994,37.522653,42.452637,No summary available,1,1,0,2,Kurdistan Workers' Party (PKK),15
1994,14.533333,-91.5,No summary available,1,1,1,3,Unknown,0
