iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1996,41.591369,9.278311,No summary available,1,1,1,3,Corsican Separatists,0
1996,41.591369,9.278311,No summary available,1,1,1,3,Corsican Separatists,0
1996,24.893379,67.028061,No summary available,1,1,0,1,Unknown,4
1996,24.893379,67.028061,No summary available,1,1,0,1,Unknown,1
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,5
1996,24.893379,67.028061,No summary available,0,1,1,1,Unknown,1
1996,24.893379,67.028061,No summary available,0,1,1,1,Unknown,1
1996,24.893379,67.028061,No summary available,0,1,1,1,Unknown,1
1996,24.893379,67.028061,No summary available,0,1,1,1,Unknown,1
1996,24.893379,67.028061,No summary available,1,1,1,1,Unknown,1
1996,24.893379,67.028061,No summary available,1,1,1,1,Unknown,2
1996,32.6505,-85.380649,No summary available,1,1,1,1,Unknown,0
1996,42.44321,-123.324639,No summary available,1,1,1,7,Unknown,0
1996,41.919128,8.738534,No summary available,1,1,1,3,Corsican Separatists,0
1996,41.919129,8.738535,No summary available,1,1,1,3,Corsican Separatists,0
1996,41.91913,8.738536,No summary available,1,1,1,3,Corsican Separatists,0
1996,41.919131,8.738537,No summary available,1,1,1,1,Corsican Separatists,1
1996,27.9308333,30.8363889,No summary available,1,1,1,2,Unknown,0
1996,54.467967,-6.337967,No summary available,1,1,1,1,Direct Action Against Drugs (DADD),1
1996,51.985103,5.89873,No summary available,1,1,1,3,Anti-Nuclear Society for a Silent Counter-Offensive (ANGST),0
1996,24.893379,67.028061,No summary available,1,1,1,1,Unknown,3
1996,24.893379,67.028061,No summary available,1,1,1,3,Unknown,0
1996,41.67615,8.903952,No summary available,1,1,1,3,Unknown,0
1996,32.613992,44.025046,No summary available,1,1,0,2,Unknown,2
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,24.893379,67.028061,No summary available,1,1,1,2,Unknown,0
1996,25.377846,68.346304,No summary available,1,1,1,2,Unknown,0
1996,25.377846,68.346304,No summary available,1,1,1,2,Unknown,0
1996,25.377846,68.346304,No summary available,1,1,1,2,Unknown,0
1996,25.377846,68.346304,No summary available,1,1,1,2,Unknown,0
